id,description
1,Amuxwvrfyb|Buenos Aires|Argentina
2,Loqjmpspsp|Melbourne|Australia
3,Oilsjojr|Adelaide|Australia
4,Vzncru|Spielburg|Austria
5,Khiryz|Styria|Austria
6,Xnowjxl|Spielburg|Austria
7,Fgjgjuo|Baku|Azerbaijan
8,Mgtwtuu|Sakhir|Bahrain
9,Wvdnwhjia|Spa|Belgium
10,Ireoqg|Heusden-Zolder|Belgium
11,Yceodr|Brussels|Belgium
12,Lanmcy|São Paulo|Brazil
13,Gpzbej|Rio de Janeiro|Brazil
14,Huqbcwi|Montreal|Canada
15,Rxvlhkthz|Ontario|Canada
16,Axczggnod|Quebec|Canada
17,Twqjlejxe|Shanghai|China
18,Ilcuy|Magny Cours|France
19,Tzymsc|Le Castellet|France
20,Cpziav|Dijon|France
21,Cgooxmzom|Clermont-Ferrand|France
22,Xdarjizyza|Rouen|France
23,Nhamsmkckf|Le Mans|France
24,Cdhjgsxt|Reims|France
25,Rjvjixr|Hockenheim|Germany
26,Nuouyvu|Nürburg|Germany
27,Penhkbgxu|Berlin|Germany
28,Xymyufpewg|Budapest|Hungary
29,Ligsezda|Uttar Pradesh|India
30,Mxfeck|Monza|Italy
31,Lnlyw|Imola|Italy
32,Gwylphu|Pescara|Italy
33,Ijohhwl|Mugello|Italy
34,Rglpxgn|Oyama|Japan
35,Kqovo|Suzuka|Japan
36,Qdapottp|Okayama|Japan
37,Exmwqz|Yeongam County|Korea
38,Skpqss|Kuala Lumpur|Malaysia
39,Bemgym|Mexico City|Mexico
40,Hgkhcyfhij|Monte-Carlo|Monaco
41,Ipvtrk|Casablanca|Morocco
42,Azhyoz|Zandvoort|Netherlands
43,Mwycvp|Estoril|Portugal
44,Bzrbngdlg|Oporto|Portugal
45,Azhyoz|Lisbon|Portugal
46,Bgvjnk|Portimão|Portugal
47,Okifus|Sochi|Russia
48,Cjlhjsaxd|Jeddah|Saudi Arabia
49,Rqwxmsgcad|Marina Bay|Singapore
50,Grlrosnniu|Midrand|South Africa
51,Ukebgkqv|Eastern Cape Province|South Africa
52,Pvwqjrels|Montmeló|Spain
53,Tmxnldl|Valencia|Spain
54,Guvtyavkt|Jerez de la Frontera|Spain
55,Ahasvr|Madrid|Spain
56,Lzcrodrrb|Barcelona|Spain
57,Fghoo|Barcelona|Spain
58,Jzfyy||Sweden
59,Gszfbk|Bern|Switzerland
60,Xwxmsqmzc|Istanbul|Turkey
61,Gaupxb|Abu Dhabi|UAE
62,Cgmpqnpxq|Silverstone|UK
63,Kxqtnkjos|Castle Donington|UK
64,Vhdonb|UK
65,Kccpgrajqj|Liverpool|UK
66,Ilhax|Indianapolis|USA
67,Mwycvp|Phoenix|USA
68,Wkgznf|Detroit|USA
69,Gskxt|Dallas|USA
70,Gpzbej|California|USA
71,Czaok|Nevada|USA
72,Wfgcotdas|New York State|USA
73,Oddfz|California|USA
74,Atwcsec||USA
75,Iuhazt|Austin|USA
76,Zdnibkx|New Jersey|
77,|Hanoi|Vietnam
78,Pcdqio||USA
79,Rdodo|Detroit|USA
80,Dallas|USA
81,Lzcrodrrb|Barcelona|Spain
82,Fghoo|Barcelona|Spain
83,Jzfyy|Anderstorp|Sweden
84,Dallas|USA
85,Tuodo|Barcelona|Spain
86,Bnjdo|Barcelona|Spain
87,Wdodo|Barcelona|Spain
88,Dallas|USA
89,||Spain
90,Lerip|Barcelona|Spain
91,YIP|Barcelona|Spain
